antonym,present-past,country-capital,translation_en_fr,translation_en_it,translation_en_es,translation_fr_en,translation_it_en,translation_es_en,to-eng,from-eng
0.26,0.01,0.13,0.08,0.03,0.02,0.15,0.05,0.06,0.07333333333333332,0.05666666666666667
0.84,0.96,0.86,0.9,0.84,0.84,0.84,0.9,0.88,0.86,0.8733333333333334
