translation_fr_en,translation_es_en,translation_en_fr,translation_en_es,antonym,country-capital,translation_en_it,translation_it_en,present-past,to-eng,from-eng
0.06,0.1,0.08,0.04,0.14,0.16,0.06,0.02,0.0,0.04,0.08
0.08,0.1,0.06,0.08,0.12,0.16,0.06,0.02,0.0,0.06,0.07333333333333333
0.1,0.12,0.06,0.12,0.1,0.16,0.06,0.04,0.0,0.08666666666666667,0.08
0.12,0.08,0.08,0.12,0.12,0.2,0.04,0.06,0.0,0.09999999999999999,0.06666666666666667
0.14,0.14,0.08,0.12,0.08,0.18,0.06,0.08,0.02,0.11333333333333334,0.09333333333333334
0.32,0.32,0.14,0.12,0.12,0.16,0.1,0.36,0.02,0.26666666666666666,0.18666666666666668
0.36,0.28,0.16,0.16,0.2,0.12,0.08,0.32,0.06,0.28,0.17333333333333334
0.28,0.28,0.18,0.16,0.36,0.04,0.1,0.2,0.08,0.21333333333333337,0.18666666666666668
0.24,0.24,0.16,0.16,0.48,0.02,0.08,0.0,0.02,0.13333333333333333,0.16
0.16,0.14,0.2,0.16,0.48,0.06,0.1,0.0,0.02,0.10666666666666667,0.1466666666666667
0.12,0.12,0.22,0.14,0.56,0.06,0.04,0.0,0.02,0.08666666666666667,0.12666666666666665
0.44,0.3,0.24,0.2,0.7,0.02,0.0,0.0,0.0,0.21333333333333335,0.18000000000000002
0.52,0.46,0.26,0.2,0.76,0.04,0.0,0.0,0.0,0.24,0.24
0.44,0.46,0.26,0.2,0.76,0.02,0.0,0.0,0.0,0.21333333333333335,0.24
0.74,0.78,0.28,0.26,0.82,0.04,0.0,0.0,0.0,0.3333333333333333,0.35333333333333333
0.78,0.82,0.62,0.66,0.82,0.02,0.0,0.0,0.0,0.48,0.48
0.72,0.78,0.58,0.6,0.78,0.0,0.0,0.0,0.0,0.43999999999999995,0.4533333333333333
0.7,0.02,0.06,0.1,0.78,0.0,0.0,0.0,0.0,0.26666666666666666,0.02666666666666667
0.62,0.02,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.22,0.02
0.38,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.013333333333333334
0.06,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.006666666666666667
0.04,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.013333333333333334,0.006666666666666667
0.04,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.013333333333333334,0.0
0.04,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.013333333333333334,0.0
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0
0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0
