antonym,present-past,country-capital,translation_en_fr,translation_en_it,translation_en_es,translation_fr_en,translation_it_en,translation_es_en,to-eng,from-eng
0.26,0.0,0.43,0.06,0.01,0.01,0.15,0.12,0.15,0.09333333333333334,0.07333333333333333
0.86,0.96,0.78,0.68,0.7,0.76,0.76,0.7,0.92,0.7399999999999999,0.7666666666666666
