translation_fr_en,country-capital,translation_es_en,translation_en_fr,translation_en_es,translation_en_it,translation_it_en,present-past,antonym,to-eng,from-eng
0.1,0.14,0.1,0.08,0.02,0.04,0.16,0.0,0.36,0.09333333333333334,0.07333333333333333
0.04,0.12,0.04,0.1,0.04,0.08,0.12,0.04,0.22,0.06666666666666667,0.07333333333333335
0.06,0.18,0.06,0.12,0.02,0.08,0.12,0.04,0.18,0.06666666666666667,0.08666666666666667
0.08,0.18,0.08,0.14,0.02,0.08,0.12,0.08,0.2,0.07333333333333333,0.10000000000000002
0.04,0.2,0.12,0.14,0.04,0.08,0.12,0.14,0.16,0.06666666666666667,0.11333333333333334
0.12,0.16,0.16,0.18,0.06,0.08,0.18,0.38,0.22,0.12,0.13999999999999999
0.2,0.12,0.24,0.18,0.06,0.08,0.26,0.5,0.34,0.17333333333333334,0.16666666666666666
0.24,0.06,0.36,0.16,0.06,0.08,0.16,0.46,0.6,0.15333333333333332,0.19999999999999998
0.18,0.04,0.24,0.18,0.06,0.08,0.08,0.3,0.26,0.10666666666666667,0.16666666666666666
0.24,0.06,0.02,0.16,0.06,0.06,0.06,0.14,0.02,0.12,0.08
0.58,0.06,0.02,0.18,0.04,0.04,0.12,0.0,0.02,0.24666666666666667,0.08
0.18,0.1,0.02,0.18,0.04,0.02,0.08,0.0,0.02,0.09999999999999999,0.07333333333333332
0.04,0.1,0.02,0.2,0.04,0.0,0.08,0.0,0.02,0.05333333333333334,0.07333333333333333
0.1,0.1,0.0,0.12,0.08,0.02,0.12,0.0,0.02,0.09999999999999999,0.04666666666666666
0.12,0.1,0.0,0.1,0.04,0.0,0.2,0.0,0.06,0.12,0.03333333333333333
0.08,0.06,0.0,0.08,0.04,0.0,0.16,0.0,0.06,0.09333333333333334,0.02666666666666667
0.04,0.08,0.0,0.06,0.04,0.0,0.12,0.0,0.04,0.06666666666666667,0.02
0.04,0.06,0.0,0.02,0.0,0.0,0.04,0.0,0.02,0.02666666666666667,0.006666666666666667
0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.006666666666666667,0.0
0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.006666666666666667,0.0
0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.006666666666666667,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.006666666666666667,0.0
0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.006666666666666667,0.0
0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.006666666666666667,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.006666666666666667,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
