antonym,present-past,country-capital,translation_en_fr,translation_en_it,translation_en_es,translation_fr_en,translation_it_en,translation_es_en,to-eng,from-eng
0.38,0.01,0.15,0.22,0.09,0.33,0.13,0.08,0.14,0.18000000000000002,0.15
0.84,0.96,0.68,0.4,0.24,0.6,0.84,0.88,0.86,0.7733333333333333,0.5
