antonym,present-past,country-capital,translation_en_fr,translation_en_it,translation_en_es,translation_fr_en,translation_it_en,translation_es_en,to-eng,from-eng
0.4,0.01,0.2,0.07,0.04,0.01,0.11,0.08,0.06,0.06666666666666667,0.05666666666666667
0.86,0.98,0.84,0.82,0.78,0.9,0.88,0.86,0.82,0.88,0.8066666666666666
