antonym,present-past,country-capital,translation_en_fr,translation_en_it,translation_en_es,translation_fr_en,translation_it_en,translation_es_en,to-eng,from-eng
0.22,0.01,0.29,0.06,0.03,0.02,0.17,0.04,0.07,0.07666666666666667,0.05333333333333334
0.84,0.96,0.86,0.86,0.84,0.84,0.8,0.88,0.84,0.84,0.8466666666666667
