antonym,present-past,country-capital,translation_en_fr,translation_en_it,translation_en_es,translation_fr_en,translation_it_en,translation_es_en,to-eng,from-eng
0.37,0.02,0.13,0.24,0.1,0.14,0.12,0.2,0.15,0.15333333333333335,0.16333333333333333
0.82,0.94,0.7,0.76,0.68,0.68,0.78,0.78,0.92,0.7466666666666667,0.7866666666666667
