translation_fr_en,country-capital,translation_es_en,translation_en_fr,translation_en_es,translation_en_it,translation_it_en,present-past,antonym,to-eng,from-eng
0.14,0.18,0.34,0.1,0.04,0.1,0.16,0.06,0.36,0.11333333333333334,0.18000000000000002
0.14,0.2,0.34,0.08,0.04,0.08,0.24,0.04,0.34,0.14,0.16666666666666666
0.12,0.18,0.34,0.08,0.04,0.08,0.22,0.04,0.34,0.12666666666666668,0.16666666666666666
0.1,0.22,0.3,0.08,0.04,0.08,0.18,0.04,0.3,0.10666666666666667,0.15333333333333335
0.1,0.2,0.26,0.08,0.04,0.08,0.18,0.04,0.3,0.10666666666666667,0.14
0.1,0.2,0.24,0.06,0.04,0.06,0.14,0.04,0.32,0.09333333333333334,0.12
0.08,0.2,0.14,0.08,0.04,0.06,0.14,0.04,0.34,0.08666666666666667,0.09333333333333334
0.16,0.2,0.28,0.08,0.02,0.06,0.16,0.04,0.34,0.11333333333333333,0.14
0.18,0.18,0.24,0.06,0.02,0.04,0.2,0.08,0.32,0.13333333333333333,0.11333333333333333
0.12,0.18,0.2,0.04,0.0,0.04,0.2,0.08,0.32,0.10666666666666667,0.09333333333333334
0.1,0.2,0.16,0.06,0.04,0.04,0.12,0.1,0.36,0.08666666666666667,0.08666666666666667
0.1,0.2,0.16,0.06,0.04,0.04,0.1,0.12,0.34,0.08,0.08666666666666667
0.12,0.12,0.14,0.04,0.02,0.04,0.08,0.12,0.32,0.07333333333333332,0.07333333333333335
0.08,0.16,0.14,0.06,0.02,0.02,0.12,0.16,0.32,0.07333333333333333,0.07333333333333333
0.18,0.22,0.34,0.08,0.02,0.02,0.36,0.14,0.38,0.18666666666666665,0.1466666666666667
0.16,0.18,0.34,0.08,0.02,0.04,0.3,0.16,0.42,0.16,0.15333333333333335
0.36,0.26,0.58,0.12,0.02,0.08,0.52,0.32,0.56,0.3,0.25999999999999995
0.46,0.28,0.68,0.12,0.0,0.06,0.62,0.3,0.62,0.36000000000000004,0.2866666666666667
0.52,0.22,0.76,0.14,0.06,0.02,0.68,0.62,0.76,0.4200000000000001,0.3066666666666667
0.58,0.22,0.82,0.22,0.1,0.04,0.7,0.68,0.82,0.45999999999999996,0.36000000000000004
0.62,0.2,0.82,0.22,0.08,0.04,0.72,0.76,0.84,0.47333333333333333,0.36000000000000004
0.66,0.3,0.8,0.22,0.1,0.04,0.78,0.76,0.84,0.5133333333333333,0.35333333333333333
0.68,0.46,0.84,0.24,0.2,0.08,0.8,0.9,0.84,0.56,0.3866666666666667
0.68,0.58,0.84,0.32,0.46,0.16,0.82,0.96,0.84,0.6533333333333333,0.43999999999999995
0.68,0.54,0.84,0.32,0.5,0.16,0.82,0.96,0.84,0.6666666666666666,0.43999999999999995
0.7,0.56,0.84,0.36,0.44,0.14,0.82,0.96,0.82,0.6533333333333333,0.4466666666666666
0.72,0.54,0.84,0.38,0.48,0.18,0.84,0.96,0.82,0.68,0.4666666666666666
0.72,0.6,0.82,0.44,0.5,0.2,0.84,0.96,0.82,0.6866666666666666,0.48666666666666664
0.72,0.64,0.84,0.44,0.46,0.18,0.84,0.96,0.8,0.6733333333333333,0.48666666666666664
0.7,0.64,0.84,0.44,0.5,0.22,0.84,0.84,0.8,0.68,0.5
0.74,0.66,0.84,0.92,0.82,0.7,0.84,0.92,0.8,0.7999999999999999,0.82
0.72,0.72,0.86,0.96,0.82,0.72,0.86,0.88,0.82,0.7999999999999999,0.8466666666666667
