antonym,present-past,country-capital,translation_en_fr,translation_en_it,translation_en_es,translation_fr_en,translation_it_en,translation_es_en,to-eng,from-eng
0.36,0.06,0.21,0.13,0.04,0.03,0.15,0.12,0.23,0.09999999999999999,0.13333333333333333
0.82,0.98,0.76,0.78,0.78,0.82,0.8,0.82,0.84,0.8133333333333334,0.8000000000000002
