translation_fr_en,country-capital,translation_es_en,translation_en_fr,translation_en_es,translation_en_it,translation_it_en,present-past,antonym,to-eng,from-eng
0.1,0.24,0.06,0.06,0.0,0.0,0.08,0.0,0.26,0.06,0.04
0.1,0.26,0.06,0.02,0.0,0.0,0.08,0.0,0.26,0.06,0.02666666666666667
0.14,0.26,0.12,0.04,0.0,0.0,0.1,0.0,0.28,0.08,0.05333333333333334
0.08,0.26,0.12,0.06,0.0,0.04,0.14,0.0,0.22,0.07333333333333335,0.07333333333333333
0.1,0.3,0.1,0.1,0.0,0.04,0.12,0.0,0.28,0.07333333333333333,0.08
0.18,0.38,0.14,0.1,0.04,0.04,0.22,0.08,0.28,0.14666666666666667,0.09333333333333334
0.2,0.32,0.12,0.14,0.04,0.04,0.24,0.14,0.26,0.16,0.09999999999999999
0.22,0.32,0.2,0.1,0.02,0.04,0.3,0.22,0.32,0.18000000000000002,0.11333333333333334
0.32,0.34,0.26,0.1,0.02,0.04,0.38,0.1,0.4,0.24,0.13333333333333333
0.34,0.3,0.18,0.12,0.02,0.04,0.32,0.54,0.58,0.22666666666666668,0.11333333333333333
0.32,0.3,0.18,0.12,0.02,0.04,0.26,0.54,0.58,0.20000000000000004,0.11333333333333333
0.34,0.16,0.2,0.08,0.04,0.02,0.14,0.46,0.46,0.17333333333333334,0.10000000000000002
0.32,0.04,0.08,0.04,0.0,0.0,0.14,0.1,0.36,0.15333333333333335,0.04
0.48,0.04,0.1,0.02,0.0,0.0,0.18,0.02,0.24,0.21999999999999997,0.04
0.56,0.02,0.1,0.0,0.0,0.0,0.12,0.02,0.18,0.22666666666666668,0.03333333333333333
0.38,0.02,0.12,0.0,0.0,0.0,0.08,0.02,0.14,0.15333333333333335,0.04
0.44,0.02,0.14,0.0,0.0,0.0,0.06,0.02,0.16,0.16666666666666666,0.04666666666666667
0.68,0.02,0.18,0.0,0.0,0.0,0.06,0.02,0.1,0.24666666666666667,0.06
0.62,0.02,0.18,0.02,0.0,0.0,0.06,0.02,0.08,0.22666666666666666,0.06666666666666667
0.76,0.02,0.2,0.02,0.0,0.0,0.04,0.02,0.02,0.26666666666666666,0.07333333333333333
0.66,0.02,0.16,0.04,0.0,0.0,0.1,0.02,0.0,0.25333333333333335,0.06666666666666667
0.26,0.02,0.1,0.02,0.0,0.0,0.08,0.0,0.0,0.11333333333333334,0.04
0.0,0.02,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.006666666666666667,0.006666666666666667
0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.006666666666666667,0.006666666666666667
0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.006666666666666667,0.006666666666666667
0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666667
0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.013333333333333334
0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.013333333333333334,0.0
